Name,Start,End,Tag,Ancestor
,22/09/2004,22/09/2004,1,ag5kZXZ-dGlsZGUtdGVzdHISCxIFVGlsZGUYgICAgICAkAkM
,29/09/2004,29/09/2004,2,ag5kZXZ-dGlsZGUtdGVzdHISCxIFVGlsZGUYgICAgICAkAkM
,06/10/2004,06/10/2004,3,ag5kZXZ-dGlsZGUtdGVzdHISCxIFVGlsZGUYgICAgICAkAkM
,13/10/2004,13/10/2004,4,ag5kZXZ-dGlsZGUtdGVzdHISCxIFVGlsZGUYgICAgICAkAkM
,20/10/2004,20/10/2004,5,ag5kZXZ-dGlsZGUtdGVzdHISCxIFVGlsZGUYgICAgICAkAkM
,27/10/2004,27/10/2004,6,ag5kZXZ-dGlsZGUtdGVzdHISCxIFVGlsZGUYgICAgICAkAkM
